Results Table 1
,Specimen label,Maximum Load,Tensile stress at Maximum Load,Tensile strain (Extension) at Maximum Load,Load at Break (Standard),Tensile stress at Break (Standard),Tensile strain (Extension) at Break (Standard),Tensile stress at Yield (Zero Slope),Modulus (E-modulus),Comment
,,(N),(MPa),(%),(N),(MPa),(%),(MPa),(MPa),
"1","","36.38","0.48","787.44","36.38","0.48","787.44","-----","-----",""
"Coefficient of variation","","-----","-----","-----","-----","-----","-----","-----","-----",""
"Maximum","","36.38","0.48","787.44","36.38","0.48","787.44","-----","-----",""
"Mean","","36.38","0.48","787.44","36.38","0.48","787.44","-----","-----",""
"Median","","36.38","0.48","787.44","36.38","0.48","787.44","-----","-----",""
"Minimum","","36.38","0.48","787.44","36.38","0.48","787.44","-----","-----",""
"Range","","0.00","0.00","0.00","0.00","0.00","0.00","-----","-----",""
"Standard deviation","","-----","-----","-----","-----","-----","-----","-----","-----",""
"Mean + 1 SD","","-----","-----","-----","-----","-----","-----","-----","-----",""
"Mean - 1 SD","","-----","-----","-----","-----","-----","-----","-----","-----",""

Results Table 2


1,Time,Displacement,Force
,(s),(mm),(kN)
"","0.0000","0.0000","0.0000"
"","0.1000","1.5271","0.0025"
"","0.2000","4.5574","0.0062"
"","0.3000","7.5598","0.0087"
"","0.4000","10.5599","0.0106"
"","0.5000","13.5600","0.0120"
"","0.6000","16.5600","0.0131"
"","0.7000","19.5601","0.0141"
"","0.8000","22.5602","0.0148"
"","0.9000","25.5600","0.0155"
"","1.0000","28.5601","0.0160"
"","1.1000","31.5601","0.0165"
"","1.2000","34.5600","0.0170"
"","1.3000","37.5602","0.0174"
"","1.4000","40.5600","0.0177"
"","1.5000","43.5601","0.0181"
"","1.6000","46.5601","0.0184"
"","1.7000","49.5600","0.0187"
"","1.8000","52.5601","0.0190"
"","1.9000","55.5600","0.0192"
"","2.0000","58.5601","0.0195"
"","2.1000","61.5600","0.0197"
"","2.2000","64.5601","0.0200"
"","2.3000","67.5601","0.0203"
"","2.4000","70.5601","0.0205"
"","2.5000","73.5600","0.0207"
"","2.6000","76.5601","0.0210"
"","2.7000","79.5602","0.0212"
"","2.8000","82.5601","0.0215"
"","2.9000","85.5601","0.0217"
"","3.0000","88.5599","0.0220"
"","3.1000","91.5602","0.0222"
"","3.2000","94.5601","0.0225"
"","3.3000","97.5600","0.0227"
"","3.4000","100.5600","0.0230"
"","3.5000","103.5599","0.0232"
"","3.6000","106.5602","0.0235"
"","3.7000","109.5600","0.0237"
"","3.8000","112.5601","0.0240"
"","3.9000","115.5600","0.0243"
"","4.0000","118.5601","0.0246"
"","4.1000","121.5603","0.0249"
"","4.2000","124.5600","0.0252"
"","4.3000","127.5601","0.0255"
"","4.4000","130.5601","0.0258"
"","4.5000","133.5600","0.0261"
"","4.6000","136.5601","0.0264"
"","4.7000","139.5600","0.0268"
"","4.8000","142.5601","0.0271"
"","4.9000","145.5602","0.0275"
"","5.0000","148.5600","0.0278"
"","5.1000","151.5601","0.0282"
"","5.2000","154.5600","0.0286"
"","5.3000","157.5600","0.0290"
"","5.4000","160.5601","0.0294"
"","5.5000","163.5600","0.0298"
"","5.6000","166.5600","0.0303"
"","5.7000","169.5601","0.0307"
"","5.8000","172.5600","0.0312"
"","5.9000","175.5601","0.0317"
"","6.0000","178.5600","0.0322"
"","6.1000","181.5601","0.0327"
"","6.2000","184.5600","0.0333"
"","6.3000","187.5599","0.0338"
"","6.4000","190.5601","0.0344"
"","6.5000","193.5601","0.0350"
"","6.6000","196.5601","0.0356"
"","6.7000","199.5600","0.0363"
"","6.7150","200.0100","0.0364"

